season,first_name,last_name,position,origin,destination,transfer_date,transfer_year,eligibility,is_withdrawn,has_destination,is_completed_transfer,rating,has_rating,stars,has_stars
2024,Julian,Humphrey,CB,Georgia,,2024-01-03 00:27:00+00:00,2024,Immediate,False,False,False,,False,4.0,True
2024,Danny,Saili,DL,BYU,Arkansas,2024-05-01 01:55:00+00:00,2024,Immediate,False,True,True,0.87,True,3.0,True
2024,Kyle,Williams,WR,Washington State,,2023-12-27 18:20:00+00:00,2023,Immediate,False,False,False,,False,3.0,True
2024,Jayson,Jenkins,DL,Tennessee,,2024-04-22 19:24:00+00:00,2024,Immediate,False,False,False,,False,3.0,True
2024,Teivis,Tuioti,IOL,Colorado State,San Diego State,2024-04-30 16:32:00+00:00,2024,Immediate,False,True,True,,False,3.0,True
2024,Decamerion,Richardson,CB,Mississippi State,Ole Miss,2023-12-13 17:23:00+00:00,2023,Immediate,False,True,True,0.91,True,4.0,True
2024,Lake,Ellis,CB,Bryant,Massachusetts,2023-11-24 20:05:00+00:00,2023,Immediate,False,True,True,0.85,True,3.0,True
2024,Tacario,Davis,CB,Arizona,,2024-01-23 16:37:00+00:00,2024,Withdrawn,True,False,False,0.92,True,4.0,True
2024,E.J.,Warner,QB,Temple,Rice,2023-11-28 23:43:00+00:00,2023,Immediate,False,True,True,0.86,True,3.0,True
2024,AK,Kelly,WR,Wake Forest,,2023-12-04 20:28:00+00:00,2023,Immediate,False,False,False,,False,3.0,True
2024,Herman,Brister III,S,Air Force,Southern,2024-04-18 00:17:00+00:00,2024,Immediate,False,True,True,,False,,False
2024,Devin,Sherwood,QB,Virginia,,2023-12-05 22:17:00+00:00,2023,Withdrawn,True,False,False,,False,,False
2024,Ralph,Mency,DL,Middle Tennessee,,2023-12-04 17:10:00+00:00,2023,Withdrawn,True,False,False,,False,3.0,True
2024,Jalen,Montgomery,RB,Middle Tennessee,Eastern Kentucky,2024-04-17 22:23:00+00:00,2024,Immediate,False,True,True,,False,,False
2024,Tybo,Rogers,RB,Washington,,2024-01-19 06:00:00+00:00,2024,Withdrawn,True,False,False,0.88,True,3.0,True
2024,Chase,Bisontis,OT,Texas A&M,,2023-12-06 18:35:00+00:00,2023,Withdrawn,True,False,False,0.94,True,4.0,True
2024,Buddy,Mack III,S,Pittsburgh,South Carolina,2023-11-29 14:51:00+00:00,2023,Immediate,False,True,True,,False,3.0,True
2024,Antonio,Cotman Jr.,CB,Virginia Tech,Charlotte,2024-04-17 22:17:00+00:00,2024,Immediate,False,True,True,0.85,True,3.0,True
2024,Carl,Biddings,DL,Indiana,,2023-12-12 13:53:00+00:00,2023,Withdrawn,True,False,False,,False,,False
2024,Ibrahim,Diawara,EDGE,Shippensburg University,Coastal Carolina,2023-11-30 20:23:00+00:00,2023,Immediate,False,True,True,0.84,True,3.0,True
2024,Hunter,Vivaldi,WR,Texas A&M,,2023-09-05 17:48:00+00:00,2023,Immediate,False,False,False,,False,,False
2024,Jawaun,Singletary,IOL,Grambling,New Mexico,2023-12-01 06:00:00+00:00,2023,Immediate,False,True,True,0.84,True,3.0,True
2024,Ahmad,Nalls,LB,Kent State,,2023-10-02 17:34:00+00:00,2023,Immediate,False,False,False,,False,3.0,True
