season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2024,Air Force,Mountain West,100.6,5.3,55.4,39.9,0.338,0.106,0.683,0.238,0.217,0.206,0.515,0.187
2024,Akron,Mid-American,65.6,5.3,39.4,20.9,0.27,0.074,0.297,0.536,0.215,0.16,0.272,0.227
2024,Alabama,SEC,303.8,140.9,70.9,92.0,0.602,1.009,0.303,0.699,0.547,0.946,0.268,0.404
2024,App State,Sun Belt,503.6,201.9,238.0,63.6,0.879,0.966,0.82,0.859,0.792,0.971,0.768,0.64
2024,Arizona,Pac-12,295.2,152.2,139.9,3.1,0.616,0.909,0.576,0.045,0.542,0.98,0.453,0.169
2024,Arizona State,Pac-12,145.1,35.2,40.8,69.1,0.615,0.905,0.337,0.907,0.595,0.585,0.426,0.796
2024,Arkansas,SEC,182.3,2.6,179.3,0.5,0.527,0.027,0.944,0.008,0.307,0.003,0.893,0.205
2024,Arkansas State,Sun Belt,341.0,113.3,173.9,53.7,0.859,1.045,0.737,1.021,0.849,0.769,0.823,0.938
2024,Army,FBS Independents,140.4,44.2,44.6,51.6,0.702,1.035,0.56,0.662,0.743,0.723,0.646,0.772
2024,Auburn,SEC,233.5,55.2,80.8,97.6,0.712,1.047,0.494,0.872,0.845,0.921,0.607,0.903
2024,Ball State,Mid-American,108.0,16.1,49.1,42.8,0.557,0.553,0.58,0.534,0.563,0.668,0.703,0.403
2024,Baylor,Big 12,204.8,31.8,134.0,39.0,0.552,0.308,0.654,0.617,0.596,0.283,0.736,0.855
2024,Boise State,Mountain West,249.8,78.2,103.7,67.8,0.5,0.562,0.437,0.548,0.486,0.377,0.383,0.611
2024,Boston College,ACC,352.0,84.0,126.9,141.1,0.882,1.024,0.738,0.972,0.84,0.915,0.725,0.834
2024,Bowling Green,Mid-American,246.8,101.3,74.7,70.8,0.66,0.969,0.43,0.741,0.721,0.972,0.319,0.782
2024,Buffalo,Mid-American,38.1,5.6,13.9,18.6,0.141,0.067,0.096,0.455,0.168,0.056,0.119,0.301
2024,BYU,Big 12,109.5,-12.7,98.6,23.6,0.564,-0.407,0.765,0.698,0.561,0.367,0.756,0.613
