id,athleteId,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country,hometownInfo
111247,4870906,HighSchool,2023,1.0,Arch Manning,Isidore Newman,Texas,QB,76.0,215.0,5.0,0.9995,New Orleans,LA,USA,"{'latitude': 29.9499323, 'longitude': -90.0701156, 'fipsCode': '22071'}"
111248,4870879,HighSchool,2023,2.0,Keon Keeley,Berkeley Prep,Alabama,EDGE,77.0,242.0,5.0,0.9984,Tampa,FL,USA,"{'latitude': 27.9477595, 'longitude': -82.458444, 'fipsCode': '12057'}"
111249,4870799,HighSchool,2023,3.0,Nico Iamaleava,Warren,Tennessee,QB,77.0,195.0,5.0,0.998,Long Beach,CA,USA,"{'latitude': 33.7690164, 'longitude': -118.1916048, 'fipsCode': '06037'}"
111251,,HighSchool,2023,4.0,Zachariah Branch,Bishop Gorman,USC,WR,70.0,172.0,5.0,0.998,Las Vegas,NV,USA,"{'latitude': 36.1672559, 'longitude': -115.1485163, 'fipsCode': '32003'}"
111250,4870921,HighSchool,2023,5.0,Dante Moore,Martin Luther King,UCLA,QB,74.5,210.0,5.0,0.9977,Detroit,MI,USA,"{'latitude': 42.3315509, 'longitude': -83.0466403, 'fipsCode': '26163'}"
111253,4870706,HighSchool,2023,6.0,Caleb Downs,Mill Creek,Alabama,S,71.0,197.0,5.0,0.9971,Hoschton,GA,USA,"{'latitude': 34.096496, 'longitude': -83.7612839, 'fipsCode': '13157'}"
111252,5160111,HighSchool,2023,7.0,DJ Hicks,Katy Paetow,Texas A&M,DL,76.0,290.0,5.0,0.997,Katy,TX,USA,"{'latitude': 29.7857853, 'longitude': -95.8243956, 'fipsCode': '48157'}"
111254,4870607,HighSchool,2023,8.0,Jackson Arnold,Denton Guyer,Oklahoma,QB,73.0,205.0,5.0,0.9963,Denton,TX,USA,"{'latitude': 33.2150386, 'longitude': -97.1330516, 'fipsCode': '48121'}"
111256,4870976,HighSchool,2023,9.0,Kadyn Proctor,Southeast Polk,Alabama,OT,79.0,330.0,5.0,0.996,Des Moines,IA,USA,"{'latitude': 41.5910641, 'longitude': -93.6037149, 'fipsCode': '19153'}"
111255,4700136,HighSchool,2023,10.0,Francis Mauigoa,IMG Academy,Miami,OT,77.5,330.0,5.0,0.996,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
111258,4899363,HighSchool,2023,11.0,Adepoju Adebawore,North Kansas City,Oklahoma,EDGE,76.0,240.0,5.0,0.9953,Kansas City,MO,USA,"{'latitude': 39.100105, 'longitude': -94.5781416, 'fipsCode': '29095'}"
111257,4870928,HighSchool,2023,12.0,Malachi Nelson,Los Alamitos,USC,QB,75.0,182.0,5.0,0.9951,Los Alamitos,CA,USA,"{'latitude': 33.8038865, 'longitude': -118.0772433, 'fipsCode': '06059'}"
111260,4870920,HighSchool,2023,13.0,Cormani McClain,Lakeland,Colorado,CB,74.0,165.0,5.0,0.9921,Lakeland,FL,USA,"{'latitude': 28.0394654, 'longitude': -81.9498042, 'fipsCode': '12105'}"
111259,4870967,HighSchool,2023,14.0,Suntarine Perkins,Raleigh,Ole Miss,LB,75.0,205.0,5.0,0.9916,Raleigh,MS,USA,"{'latitude': 32.033488, 'longitude': -89.5222911, 'fipsCode': '28129'}"
111262,5150410,HighSchool,2023,15.0,Lance Heard,Neville,LSU,OT,77.5,310.0,5.0,0.9909,Monroe,LA,USA,"{'latitude': 32.5093109, 'longitude': -92.1193012, 'fipsCode': '22073'}"
111267,5079337,HighSchool,2023,16.0,Peyton Bowen,Denton Guyer,Oklahoma,S,72.0,185.0,5.0,0.9908,Denton,TX,USA,"{'latitude': 33.2150386, 'longitude': -97.1330516, 'fipsCode': '48121'}"
111261,4870922,HighSchool,2023,17.0,Duce Robinson,Pinnacle,USC,TE,78.0,225.0,5.0,0.9907,Phoenix,AZ,USA,"{'latitude': 33.4484367, 'longitude': -112.0741417, 'fipsCode': '04013'}"
111265,4870805,HighSchool,2023,18.0,Anthony Hill Jr.,Denton Ryan,Texas,LB,74.0,225.0,5.0,0.9902,Denton,TX,USA,"{'latitude': 33.2150386, 'longitude': -97.1330516, 'fipsCode': '48121'}"
111266,4870745,HighSchool,2023,19.0,Nyck Harbor,Archbishop Carroll,South Carolina,ATH,77.0,225.0,5.0,0.9901,Washington,DC,USA,"{'latitude': 38.8949855, 'longitude': -77.0365708, 'fipsCode': '11001'}"
216935,,HighSchool,2023,20.0,Tate Myre,Oxford (),,RB,72.0,195.0,5.0,0.99,,,,"{'latitude': None, 'longitude': None, 'fipsCode': None}"
111263,4871089,HighSchool,2023,21.0,Damon Wilson II,Venice,Georgia,EDGE,75.5,225.0,5.0,0.99,Venice,FL,USA,"{'latitude': 27.0999188, 'longitude': -82.4543597, 'fipsCode': '12115'}"
111268,5158470,HighSchool,2023,22.0,Jurrion Dickey,Menlo-Atherton,Oregon,WR,75.0,210.0,5.0,0.989,East Palo Alto,CA,USA,"{'latitude': 37.4688273, 'longitude': -122.1410751, 'fipsCode': '06081'}"
111264,4870609,HighSchool,2023,23.0,CJ Baxter,Edgewater,Texas,RB,73.0,215.0,5.0,0.9889,Orlando,FL,USA,"{'latitude': 28.5421109, 'longitude': -81.3790304, 'fipsCode': '12095'}"
111269,4870875,HighSchool,2023,24.0,Samson Okunlola,Thayer Academy,Miami,OT,77.0,305.0,5.0,0.9886,Brockton,MA,USA,"{'latitude': 42.0834335, 'longitude': -71.0183787, 'fipsCode': '25023'}"
111275,4870760,HighSchool,2023,25.0,Justice Haynes,Buford,Alabama,RB,71.0,200.0,5.0,0.9884,Buford,GA,USA,"{'latitude': 34.1206564, 'longitude': -84.0043513, 'fipsCode': '13135'}"
