id,athleteId,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country,hometownInfo
254348,4686250,HighSchool,2020,1.0,Alante Brown,St. Thomas More (Prep),Nebraska,WR,72.0,190.0,4.0,0.8937,Oakdale,CT,USA,"{'latitude': 41.4662093, 'longitude': -72.1573008, 'fipsCode': '09011'}"
118408,4428988,HighSchool,2020,1.0,Bryan Bresee,Damascus,Clemson,DT,77.0,290.0,5.0,0.9995,Damascus,MD,USA,"{'latitude': 39.2884381, 'longitude': -77.2038717, 'fipsCode': '24031'}"
254373,,HighSchool,2020,2.0,Ja'Had Carter,Jireh Prep Academy,Syracuse,ATH,72.0,185.0,3.0,0.8459,Matthews,NC,USA,"{'latitude': 35.1170873, 'longitude': -80.723718, 'fipsCode': '37119'}"
118409,,HighSchool,2020,2.0,Bryce Young,Mater Dei,Alabama,DUAL,71.0,183.0,5.0,0.9994,Santa Ana,CA,USA,"{'latitude': 33.7494951, 'longitude': -117.8732213, 'fipsCode': '06059'}"
254400,,HighSchool,2020,3.0,Wilfried Pene,St. Thomas More (Prep),Virginia Tech,TE,75.0,235.0,3.0,0.8337,Oakdale,CT,USA,"{'latitude': 41.4662093, 'longitude': -72.1573008, 'fipsCode': '09011'}"
118410,4430800,HighSchool,2020,3.0,Julian Fleming,Southern Columbia,Ohio State,WR,74.0,199.0,5.0,0.9979,Catawissa,PA,USA,"{'latitude': 40.9548267, 'longitude': -76.4609868, 'fipsCode': '42037'}"
254419,,HighSchool,2020,4.0,Emmanuel Balogun,Fork Union Military Academy,Marshall,DT,79.0,240.0,3.0,0.82,Fork Union,VA,USA,"{'latitude': 37.7632986, 'longitude': -78.2626198, 'fipsCode': '51065'}"
118411,4428992,HighSchool,2020,4.0,Kelee Ringo,Saguaro,Georgia,CB,74.0,205.0,5.0,0.9976,Scottsdale,AZ,USA,"{'latitude': 33.4942189, 'longitude': -111.9260184, 'fipsCode': '04013'}"
118412,4428994,HighSchool,2020,5.0,Arik Gilbert,Marietta,LSU,TE,77.0,253.0,5.0,0.9972,Marietta,GA,USA,"{'latitude': 33.9528472, 'longitude': -84.5496148, 'fipsCode': '13067'}"
254566,,HighSchool,2020,6.0,Dominic Busby,Seton Hall Prep,Columbia,TE,74.5,218.0,3.0,0.8117,West Orange,NJ,USA,"{'latitude': 40.7987113, 'longitude': -74.2390353, 'fipsCode': '34013'}"
