id,athleteId,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country,hometownInfo
126270,4360310,HighSchool,2018,1.0,Trevor Lawrence,Cartersville,Clemson,PRO,78.0,208.0,5.0,0.9999,Cartersville,GA,USA,"{'latitude': 34.1650972, 'longitude': -84.7999383, 'fipsCode': '13015'}"
250060,,HighSchool,2018,1.0,Christian Darrisaw,Fork Union Military Academy,Virginia Tech,OT,77.0,300.0,3.0,0.8588,Fork Union,VA,USA,"{'latitude': 37.7632986, 'longitude': -78.2626198, 'fipsCode': '51065'}"
126271,,HighSchool,2018,2.0,Justin Fields,Harrison,Georgia,DUAL,75.0,221.0,5.0,0.9998,Kennesaw,GA,USA,"{'latitude': 34.0234337, 'longitude': -84.6154897, 'fipsCode': '13067'}"
250163,,HighSchool,2018,2.0,Emmanuel White,Georgia Prep Sports Academy,Charlotte,SDE,79.0,235.0,3.0,0.82,Atlanta,GA,USA,"{'latitude': 33.7490987, 'longitude': -84.3901849, 'fipsCode': '13121'}"
250106,,HighSchool,2018,3.0,Sterling Palmer,Fork Union Military Academy,Florida International,TE,78.0,220.0,3.0,0.8,Fork Union,VA,USA,"{'latitude': 37.7632986, 'longitude': -78.2626198, 'fipsCode': '51065'}"
126272,4360304,HighSchool,2018,3.0,Xavier Thomas,IMG Academy,Clemson,SDE,75.0,260.0,5.0,0.9988,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
126273,,HighSchool,2018,4.0,Eyabi Okie-Anoma,St. Frances Academy,Alabama,WDE,77.0,235.0,5.0,0.9987,Baltimore,MD,USA,"{'latitude': 39.2908816, 'longitude': -76.610759, 'fipsCode': '24510'}"
250464,,HighSchool,2018,4.0,Brendan Easley,Duplicate,Morgan State,WR,77.0,205.0,2.0,0.7895,Columbia,SC,USA,"{'latitude': 34.0007493, 'longitude': -81.0343313, 'fipsCode': '45079'}"
250164,,HighSchool,2018,5.0,Damon Weldon,Fork Union Military Academy,Charlotte,SDE,77.0,235.0,2.0,0.78,Fork Union,VA,USA,"{'latitude': 37.7632986, 'longitude': -78.2626198, 'fipsCode': '51065'}"
126274,4361423,HighSchool,2018,5.0,Micah Parsons,Harrisburg,Penn State,WDE,75.0,235.0,5.0,0.9982,Harrisburg,PA,USA,"{'latitude': 40.2663107, 'longitude': -76.8861122, 'fipsCode': '42043'}"
250255,,HighSchool,2018,6.0,Kenny Terry,Duplicate,Eastern Kentucky,SDE,76.0,230.0,2.0,0.76,Columbia,SC,USA,"{'latitude': 34.0007493, 'longitude': -81.0343313, 'fipsCode': '45079'}"
126275,4372012,HighSchool,2018,6.0,Patrick Surtain II,American Heritage,Alabama,CB,73.25,199.0,5.0,0.9973,Fort Lauderdale,FL,USA,"{'latitude': 26.1223084, 'longitude': -80.1433786, 'fipsCode': '12011'}"
126276,4361368,HighSchool,2018,7.0,Nicholas Petit-Frere,Berkeley Prep,Ohio State,OT,78.0,272.0,5.0,0.9963,Tampa,FL,USA,"{'latitude': 27.9477595, 'longitude': -82.458444, 'fipsCode': '12057'}"
126277,4361426,HighSchool,2018,8.0,Justin Shorter,South Brunswick,Penn State,WR,76.0,213.0,5.0,0.9962,Monmouth Junction,NJ,USA,"{'latitude': 40.3789957, 'longitude': -74.5465436, 'fipsCode': '34023'}"
126278,4361777,HighSchool,2018,9.0,Zamir White,Scotland County,Georgia,RB,73.0,210.0,5.0,0.9957,Laurinburg,NC,USA,"{'latitude': 34.7740495, 'longitude': -79.4628248, 'fipsCode': '37165'}"
126279,4379412,HighSchool,2018,10.0,Jamaree Salyer,Pace Academy,Georgia,OG,76.0,342.0,5.0,0.9956,Atlanta,GA,USA,"{'latitude': 33.7490987, 'longitude': -84.3901849, 'fipsCode': '13121'}"
126280,4374302,HighSchool,2018,11.0,Amon-Ra St. Brown,Mater Dei,USC,WR,71.5,191.0,5.0,0.9948,Anaheim,CA,USA,"{'latitude': 33.8347516, 'longitude': -117.911732, 'fipsCode': '06059'}"
126281,4379397,HighSchool,2018,12.0,Tyson Campbell,American Heritage,Georgia,CB,74.5,180.0,5.0,0.9944,Fort Lauderdale,FL,USA,"{'latitude': 26.1223084, 'longitude': -80.1433786, 'fipsCode': '12011'}"
126282,4362630,HighSchool,2018,13.0,Terrace Marshall,Parkway,LSU,WR,74.5,192.0,5.0,0.993,Bossier City,LA,USA,"{'latitude': 32.5369356, 'longitude': -93.6952689, 'fipsCode': '22015'}"
126283,4360308,HighSchool,2018,14.0,KJ Henry,West Forsyth,Clemson,WDE,77.5,235.0,5.0,0.9928,Clemmons,NC,USA,"{'latitude': 36.0215258, 'longitude': -80.3819984, 'fipsCode': '37067'}"
126284,4374297,HighSchool,2018,15.0,Palaie Gaoteote IV,Bishop Gorman,USC,ILB,74.0,235.0,5.0,0.9926,Las Vegas,NV,USA,"{'latitude': 36.1672559, 'longitude': -115.1485163, 'fipsCode': '32003'}"
126285,4374303,HighSchool,2018,16.0,JT Daniels,Mater Dei,USC,PRO,74.0,205.0,5.0,0.9919,Santa Ana,CA,USA,"{'latitude': 33.7494951, 'longitude': -117.8732213, 'fipsCode': '06059'}"
126286,4360320,HighSchool,2018,17.0,Jackson Carman,Fairfield,Clemson,OT,78.0,330.0,5.0,0.9894,Fairfield,OH,USA,"{'latitude': 39.3458953, 'longitude': -84.5605031, 'fipsCode': '39017'}"
126287,4379392,HighSchool,2018,18.0,Adam Anderson,Rome,Georgia,OLB,76.0,214.0,5.0,0.9889,Rome,GA,USA,"{'latitude': 34.257038, 'longitude': -85.1646726, 'fipsCode': '13115'}"
126288,4362077,HighSchool,2018,19.0,Caden Sterns,Cibolo Steele,Texas,S,73.0,192.0,5.0,0.9886,Cibolo,TX,USA,"{'latitude': 29.5707831, 'longitude': -98.2330927, 'fipsCode': '48187'}"
126289,,HighSchool,2018,20.0,Taron Vincent,IMG Academy,Ohio State,DT,74.0,285.0,5.0,0.9884,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
126290,4361343,HighSchool,2018,21.0,Tyreke Johnson,Trinity Christian Academy,Ohio State,S,73.0,191.0,5.0,0.9876,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}"
126291,4361788,HighSchool,2018,22.0,Cade Mays,Knoxville Catholic,Georgia,OT,78.0,318.0,5.0,0.9869,Knoxville,TN,USA,"{'latitude': 35.9603948, 'longitude': -83.9210261, 'fipsCode': '47093'}"
126292,,HighSchool,2018,23.0,Brenton Cox,Stockbridge,Georgia,SDE,76.5,247.0,5.0,0.9867,Stockbridge,GA,USA,"{'latitude': 33.5442781, 'longitude': -84.2338093, 'fipsCode': '13151'}"
126293,4362086,HighSchool,2018,24.0,B.J. Foster,Angleton,Texas,S,73.0,188.0,5.0,0.9865,Angleton,TX,USA,"{'latitude': 29.16941, 'longitude': -95.4318847, 'fipsCode': '48039'}"
126294,,HighSchool,2018,25.0,Lorenzo Lingard,University,Miami,RB,72.0,190.0,5.0,0.9861,Orange City,FL,USA,"{'latitude': 28.9488761, 'longitude': -81.2986741, 'fipsCode': '12127'}"
126295,4360307,HighSchool,2018,26.0,Derion Kendrick,South Pointe,Clemson,WR,73.0,184.0,5.0,0.9855,Rock Hill,SC,USA,"{'latitude': 34.9248667, 'longitude': -81.0250784, 'fipsCode': '45091'}"
126296,4361427,HighSchool,2018,27.0,Ricky Slade,C. D. Hylton,Penn State,APB,69.0,185.0,5.0,0.9853,Woodbridge,VA,USA,"{'latitude': 38.6581723, 'longitude': -77.2497049, 'fipsCode': '51153'}"
126297,4374299,HighSchool,2018,28.0,Olaijah Griffin,Mission Viejo,USC,CB,72.0,170.0,5.0,0.9849,Mission Viejo,CA,USA,"{'latitude': 33.5965685, 'longitude': -117.659405, 'fipsCode': '06059'}"
126298,4360288,HighSchool,2018,29.0,Brey Walker,Westmoore,Oklahoma,OT,79.0,320.0,5.0,0.9836,Moore,OK,USA,"{'latitude': 35.3395135, 'longitude': -97.4867045, 'fipsCode': '40027'}"
126299,4361351,HighSchool,2018,30.0,Jaelen Gill,Westerville South,Ohio State,APB,73.0,182.0,4.0,0.9831,Westerville,OH,USA,"{'latitude': 40.126139, 'longitude': -82.9295287, 'fipsCode': '39049'}"
126300,4379416,HighSchool,2018,31.0,Quay Walker,Crisp County,Georgia,OLB,76.0,236.0,4.0,0.983,Cordele,GA,USA,"{'latitude': 31.9635074, 'longitude': -83.7823938, 'fipsCode': '13081'}"
126301,4374301,HighSchool,2018,32.0,Isaac Taylor-Stuart,Helix,USC,CB,74.0,187.0,4.0,0.9827,San Diego,CA,USA,"{'latitude': 32.7174209, 'longitude': -117.1627714, 'fipsCode': '06073'}"
126302,4362504,HighSchool,2018,33.0,Brevin Jordan,Bishop Gorman,Miami,TE,75.0,250.0,4.0,0.982,Las Vegas,NV,USA,"{'latitude': 36.1672559, 'longitude': -115.1485163, 'fipsCode': '32003'}"
126303,4361340,HighSchool,2018,34.0,Tyreke Smith,Cleveland Heights,Ohio State,WDE,75.0,260.0,4.0,0.9816,Cleveland,OH,USA,"{'latitude': 41.5051613, 'longitude': -81.6934446, 'fipsCode': '39035'}"
126304,-1010791,HighSchool,2018,35.0,Jaiden Lars-Woodbey,St. John Bosco,Florida State,S,74.0,204.0,4.0,0.9814,Fontana,CA,USA,"{'latitude': 34.0922335, 'longitude': -117.435048, 'fipsCode': '06071'}"
126305,4367178,HighSchool,2018,36.0,Dorian Thompson-Robinson,Bishop Gorman,UCLA,DUAL,73.5,195.0,4.0,0.9813,Las Vegas,NV,USA,"{'latitude': 36.1672559, 'longitude': -115.1485163, 'fipsCode': '32003'}"
126306,4361372,HighSchool,2018,37.0,Jeremy Ruckert,Lindenhurst,Ohio State,TE,77.5,238.0,4.0,0.981,Lindenhurst,NY,USA,"{'latitude': 40.6867667, 'longitude': -73.3734547, 'fipsCode': '36103'}"
126307,4360276,HighSchool,2018,38.0,Brendan Radley-Hiles,IMG Academy,Oklahoma,CB,70.0,183.0,4.0,0.9807,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
126308,4372016,HighSchool,2018,39.0,Jaylen Waddle,Episcopal,Alabama,WR,69.5,175.0,4.0,0.9791,Bellaire,TX,USA,"{'latitude': 29.7057858, 'longitude': -95.4588299, 'fipsCode': '48201'}"
126309,4374298,HighSchool,2018,40.0,Devon Williams,Antelope Valley,USC,WR,76.0,200.0,4.0,0.9791,Lancaster,CA,USA,"{'latitude': 34.6981064, 'longitude': -118.1366153, 'fipsCode': '06037'}"
126310,4379399,HighSchool,2018,41.0,James Cook,Miami Northwestern,Georgia,APB,71.5,181.0,4.0,0.9786,Miami,FL,USA,"{'latitude': 25.7742658, 'longitude': -80.1936589, 'fipsCode': '12086'}"
126311,,HighSchool,2018,42.0,Kelvin Joseph,Scotlandville Magnet,LSU,S,73.5,191.0,4.0,0.9784,Baton Rouge,LA,USA,"{'latitude': 30.4459596, 'longitude': -91.18738, 'fipsCode': '22033'}"
126312,4362431,HighSchool,2018,43.0,Justin Rogers,Parkway,TCU,DUAL,76.0,210.0,4.0,0.9772,Bossier City,LA,USA,"{'latitude': 32.5369356, 'longitude': -93.6952689, 'fipsCode': '22015'}"
126313,4361339,HighSchool,2018,44.0,Teradja Mitchell,Catholic,Ohio State,ILB,74.0,232.0,4.0,0.9771,Virginia Beach,VA,USA,"{'latitude': 36.8529841, 'longitude': -75.9774183, 'fipsCode': '51810'}"
126314,4360306,HighSchool,2018,45.0,Justyn Ross,Central Phenix City,Clemson,WR,76.0,201.0,4.0,0.9765,Phenix City,AL,USA,"{'latitude': 32.4709761, 'longitude': -85.0007653, 'fipsCode': '01113'}"
126315,,HighSchool,2018,46.0,Tanner McKee,Corona Centennial,Stanford,PRO,78.0,220.0,4.0,0.9764,Corona,CA,USA,"{'latitude': 33.8752945, 'longitude': -117.5664449, 'fipsCode': '06065'}"
126316,4362074,HighSchool,2018,47.0,Jalen Green,Heights,Texas,CB,72.0,171.0,4.0,0.9762,Houston,TX,USA,"{'latitude': 29.7589382, 'longitude': -95.3676974, 'fipsCode': '48201'}"
126317,4369848,HighSchool,2018,48.0,J.J. Peterson,Colquitt County,Tennessee,OLB,74.5,231.0,4.0,0.9761,Moultrie,GA,USA,"{'latitude': 31.179998, 'longitude': -83.7887928, 'fipsCode': '13071'}"
126318,4361329,HighSchool,2018,49.0,Joey Gatewood,Bartram Trail,Auburn,ATH,76.0,232.0,4.0,0.9759,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}"
126319,4363037,HighSchool,2018,50.0,A.J. Lytton,Dr. Henry Wise,Florida State,CB,70.0,173.0,4.0,0.9757,Upper Marlboro,MD,USA,"{'latitude': 38.8165274, 'longitude': -76.7519753, 'fipsCode': '24033'}"
126320,,HighSchool,2018,51.0,Luke Ford,Carterville,Georgia,TE,78.0,248.0,4.0,0.9753,Carterville,IL,USA,"{'latitude': 37.7597872, 'longitude': -89.0774278, 'fipsCode': '29097'}"
126321,4362088,HighSchool,2018,52.0,DeMarvion Overshown,Arp,Texas,S,76.0,200.0,4.0,0.9737,Arp,TX,USA,"{'latitude': 32.2254831, 'longitude': -95.059035, 'fipsCode': '48423'}"
126322,4373281,HighSchool,2018,53.0,William Barnes,Apopka,North Carolina,OT,76.0,325.0,4.0,0.9732,Apopka,FL,USA,"{'latitude': 28.6779683, 'longitude': -81.5115214, 'fipsCode': '12095'}"
126323,4362497,HighSchool,2018,54.0,Nesta Jade Silvera,American Heritage,Miami,DT,74.0,308.0,4.0,0.973,Fort Lauderdale,FL,USA,"{'latitude': 26.1223084, 'longitude': -80.1433786, 'fipsCode': '12011'}"
126324,4361366,HighSchool,2018,55.0,Tommy Togiai,Highland,Ohio State,DT,75.0,290.0,4.0,0.9721,Pocatello,ID,USA,"{'latitude': 42.8688613, 'longitude': -112.4401098, 'fipsCode': '16005'}"
126325,,HighSchool,2018,56.0,Kyler McMichael,Greater Atlanta Christian School,Clemson,CB,73.0,201.0,4.0,0.972,Norcross,GA,USA,"{'latitude': 33.9412127, 'longitude': -84.2135309, 'fipsCode': '13135'}"
126326,4373825,HighSchool,2018,57.0,Penei Sewell,Desert HIlls,Oregon,OG,77.0,349.0,4.0,0.9709,St. George,UT,USA,"{'latitude': 37.104153, 'longitude': -113.5841313, 'fipsCode': '49053'}"
126327,2594750,HighSchool,2018,58.0,Jordyn Adams,Green Hope,North Carolina,WR,74.0,175.0,4.0,0.9707,Cary,NC,USA,"{'latitude': 35.7883046, 'longitude': -78.7811964, 'fipsCode': '37183'}"
126328,4361089,HighSchool,2018,59.0,Marquis Spiker,Murrieta Valley,Washington,WR,75.0,180.0,4.0,0.9703,Murrieta,CA,USA,"{'latitude': 33.577752399999994, 'longitude': -117.18845420205307, 'fipsCode': '06065'}"
126329,-1010816,HighSchool,2018,60.0,Asante Samuel Jr.,St. Thomas Aquinas,Florida State,CB,69.5,166.0,4.0,0.9702,Fort Lauderdale,FL,USA,"{'latitude': 26.1223084, 'longitude': -80.1433786, 'fipsCode': '12011'}"
126330,4362107,HighSchool,2018,61.0,Brennan Eagles,Alief Taylor,Texas,WR,75.5,214.0,4.0,0.9699,Houston,TX,USA,"{'latitude': 29.7589382, 'longitude': -95.3676974, 'fipsCode': '48201'}"
126331,4361787,HighSchool,2018,62.0,Trey Hill,Houston County,Georgia,OG,75.5,346.0,4.0,0.9692,Warner Robins,GA,USA,"{'latitude': 32.6200973, 'longitude': -83.606568, 'fipsCode': '13153'}"
126332,4362874,HighSchool,2018,63.0,Matt Corral,Long Beach Poly,Ole Miss,PRO,74.0,202.0,4.0,0.969,Long Beach,CA,USA,"{'latitude': 33.7690164, 'longitude': -118.1916048, 'fipsCode': '06037'}"
126333,4362076,HighSchool,2018,64.0,Anthony Cook,Houston Lamar,Texas,CB,72.0,168.0,4.0,0.9682,Houston,TX,USA,"{'latitude': 29.7589382, 'longitude': -95.3676974, 'fipsCode': '48201'}"
126334,4361429,HighSchool,2018,65.0,Rasheed Walker,North Point,Penn State,OT,78.0,290.0,4.0,0.9676,Waldorf,MD,USA,"{'latitude': 38.6263882, 'longitude': -76.9106581, 'fipsCode': '24017'}"
126335,4360274,HighSchool,2018,66.0,Ronnie Perkins,Lutheran North,Oklahoma,WDE,74.5,256.0,4.0,0.9666,St. Louis,MO,USA,"{'latitude': 38.6268039, 'longitude': -90.1994097, 'fipsCode': '29510'}"
126336,4362499,HighSchool,2018,67.0,Mark Pope,Miami Southridge,Miami,WR,73.0,175.0,4.0,0.9656,Hialeah,FL,USA,"{'latitude': 25.8575963, 'longitude': -80.2781057, 'fipsCode': '12086'}"
126337,4361363,HighSchool,2018,68.0,Matthew Jones,Erasmus Hall,Ohio State,OC,76.0,300.0,4.0,0.9652,Brooklyn,NY,USA,"{'latitude': 40.6501038, 'longitude': -73.9495823, 'fipsCode': '36047'}"
126338,4360233,HighSchool,2018,69.0,Jacob Copeland,Escambia,Florida,WR,72.0,192.0,4.0,0.9651,Pensacola,FL,USA,"{'latitude': 30.421309, 'longitude': -87.2169149, 'fipsCode': '12033'}"
126339,4361322,HighSchool,2018,70.0,Houston Griffith,IMG Academy,Notre Dame,CB,73.0,192.0,4.0,0.9651,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
126340,4361344,HighSchool,2018,71.0,Josh Proctor,Owasso,Ohio State,S,74.0,190.0,4.0,0.964,Owasso,OK,USA,"{'latitude': 36.2661536, 'longitude': -95.8549456, 'fipsCode': '40143'}"
126341,4569175,HighSchool,2018,72.0,Michael Thompson,Parkway North,Oklahoma,DT,75.5,291.0,4.0,0.9638,St. Louis,MO,USA,"{'latitude': 38.6268039, 'longitude': -90.1994097, 'fipsCode': '29510'}"
126342,4361347,HighSchool,2018,73.0,Kamryn Babb,Christian Brothers College,Ohio State,WR,73.0,189.0,4.0,0.9629,St. Louis,MO,USA,"{'latitude': 38.6268039, 'longitude': -90.1994097, 'fipsCode': '29510'}"
126343,4360127,HighSchool,2018,74.0,Stephon Wynn,IMG Academy,Alabama,SDE,76.0,308.0,4.0,0.9624,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
126344,4384428,HighSchool,2018,75.0,Leon O'Neal Jr.,Cy Springs,Texas A&M,S,73.0,190.0,4.0,0.9624,Cypress,TX,USA,"{'latitude': 29.9691116, 'longitude': -95.6971686, 'fipsCode': '48201'}"
126345,4361422,HighSchool,2018,76.0,Odafe Oweh,Blair Academy,Penn State,SDE,77.0,236.0,4.0,0.9617,Blairstown,NJ,USA,"{'latitude': 40.9828753, 'longitude': -74.9604501, 'fipsCode': '34041'}"
126346,4362507,HighSchool,2018,77.0,Jarren Williams,Central Gwinnett,Miami,PRO,74.0,206.0,4.0,0.9614,Lawrenceville,GA,USA,"{'latitude': 33.9562149, 'longitude': -83.9879625, 'fipsCode': '13135'}"
